foia,request_date,due_dat,execute_dat,delta_days,compliant
12-0001 , 2012-01-03 , 2012-01-10 , 2012-01-03 , 0 , True
12-0002 , 2012-01-03 , 2012-01-10 , 2012-01-03 , 0 , True
12-0003 , 2012-01-03 , 2012-01-10 , 2012-01-10 , 7 , False
12-0004 , 2012-01-03 , 2012-01-10 , 2012-01-10 , 7 , False
12-0005 , 2012-01-03 , 2012-01-10 , 2012-01-03 , 0 , True
12-0006 , 2012-01-03 , 2012-01-10 , 2012-01-06 , 3 , True
12-0007 , 2012-01-03 , 2012-01-10 , 2012-01-06 , 3 , True
12-0008 , 2012-01-03 , 2012-01-10 , 2012-01-04 , 1 , True
12-0009 , 2012-01-03 , 2012-01-10 , 2012-01-03 , 0 , True
12-0010 , 2012-01-03 , 2012-01-10 , 2012-01-06 , 3 , True
12-0011 , 2012-01-03 , 2012-01-10 , 2012-01-03 , 0 , True
12-0012 , 2012-01-03 , 2012-01-10 , 2012-01-04 , 1 , True
12-0013 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0014 , 2012-01-04 , 2012-01-11 , 2012-01-19 , 15 , False
12-0015 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0016 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0017 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0018 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0019 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0020 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0021 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0022 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0023 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0024 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0025 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0026 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0027 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0028 , 2012-01-04 , 2012-01-11 , 2012-01-26 , 22 , False
12-0029 , 2012-01-04 , 2012-01-11 , 2012-01-04 , 0 , True
12-0030 , 2012-01-04 , 2012-01-11 , 2012-01-05 , 1 , True
12-0031 , 2012-01-04 , 2012-01-11 , 2012-01-11 , 7 , False
12-0032 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0033 , 2012-01-05 , 2012-01-12 , 2012-01-10 , 5 , True
12-0034 , 2012-01-05 , 2012-01-12 , 2012-01-09 , 4 , True
12-0035 , 2012-01-05 , 2012-01-12 , 2011-01-10 , -360 , True
12-0036 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0037 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0038 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0039 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0040 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0041 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
12-0042 , 2012-01-05 , 2012-01-12 , 2012-01-05 , 0 , True
